# Distribution release and support data.
#
# Columns, tab-separated:
#   id  version  codename  released  eol  kind
#
#   id        matches ID= in /etc/os-release
#   version   matches VERSION_ID=, or * for a rolling release
#   codename  - when the distro does not use one
#   released  YYYY-MM-DD, or - when not known to a useful precision
#   eol       YYYY-MM-DD, or - for rolling and for dates not yet announced
#   kind      fixed | rolling | lts
#
# THIS TABLE GOES STALE. It is consulted only when /etc/os-release does not carry
# SUPPORT_END=, which Fedora, RHEL, and the RHEL rebuilds do ship — for those, the
# live field always wins and this table is never read for support status.
#
# Data as of: 2026-08-01. Refresh from https://endoflife.date (their JSON API has one
# endpoint per product) and bump the date above. An entry that cannot be confirmed is
# omitted rather than guessed: a missing row prints "unknown", a wrong row lies.
#
# Rolling distros get one row with version * — there is nothing to expire.

alpine	3.19	-	2023-12-07	2025-11-01	fixed
alpine	3.20	-	2024-05-22	2026-04-01	fixed
alpine	3.21	-	2024-12-05	2026-11-01	fixed
alpine	3.22	-	2025-05-29	2027-05-01	fixed

arch	*	-	-	-	rolling
artix	*	-	-	-	rolling

debian	10	buster	2019-07-06	2024-06-30	lts
debian	11	bullseye	2021-08-14	2026-08-31	lts
debian	12	bookworm	2023-06-10	2028-06-30	lts
debian	13	trixie	2025-08-09	2030-06-30	lts

endeavouros	*	-	-	-	rolling
gentoo	*	-	-	-	rolling
manjaro	*	-	-	-	rolling
nixos	*	-	-	-	rolling
opensuse-tumbleweed	*	-	-	-	rolling
void	*	-	-	-	rolling

linuxmint	21	vanessa	2022-07-31	2027-04-30	lts
linuxmint	21.3	virginia	2024-01-12	2027-04-30	lts
linuxmint	22	wilma	2024-07-25	2029-04-30	lts

opensuse-leap	15.5	-	2023-06-07	2024-12-31	fixed
opensuse-leap	15.6	-	2024-06-12	2025-12-31	fixed

ubuntu	20.04	focal	2020-04-23	2025-05-31	lts
ubuntu	22.04	jammy	2022-04-21	2027-06-01	lts
ubuntu	24.04	noble	2024-04-25	2029-05-31	lts
ubuntu	24.10	oracular	2024-10-10	2025-07-11	fixed
ubuntu	25.04	plucky	2025-04-17	2026-01-15	fixed
